Cadena,Tiempo (s),Memoria (bytes),Resultado
a,0.000003,4236,ACEPTADA
ab,0.000001,4236,ACEPTADA
abb,0.000001,4236,ACEPTADA
abab,0.000001,4236,ACEPTADA
ababa,0.000001,4236,ACEPTADA
ababab,0.000001,4236,ACEPTADA
abababa,0.000002,4236,ACEPTADA
abababab,0.000002,4236,ACEPTADA
ababababa,0.000002,4236,ACEPTADA
ababababab,0.000002,4236,ACEPTADA
abababababa,0.000001,4236,ACEPTADA
abababababab,0.000002,4236,ACEPTADA
ababababababa,0.000002,4236,ACEPTADA
ababababababab,0.000001,4236,ACEPTADA
abababababababa,0.000002,4236,ACEPTADA
abababababababab,0.000002,4236,ACEPTADA
ababababababababa,0.000002,4236,ACEPTADA
ababababababababab,0.000002,4236,ACEPTADA
abababababababababa,0.000002,4236,ACEPTADA
abababababababababab,0.000002,4236,ACEPTADA
ababababababababababa,0.000003,4236,ACEPTADA
ababababababababababab,0.000003,4236,ACEPTADA
abababababababababababa,0.000002,4236,ACEPTADA
abababababababababababab,0.000002,4236,ACEPTADA
ababababababababababababa,0.000002,4236,ACEPTADA
ababababababababababababab,0.000002,4236,ACEPTADA
abababababababababababababa,0.000003,4236,ACEPTADA
abababababababababababababab,0.000003,4236,ACEPTADA
ababababababababababababababa,0.000003,4236,ACEPTADA
ababababababababababababababab,0.000003,4236,ACEPTADA
abababababababababababababababa,0.000003,4236,ACEPTADA
abababababababababababababababab,0.000003,4236,ACEPTADA
ababababababababababababababababa,0.000003,4236,ACEPTADA
ababababababababababababababababab,0.000003,4236,ACEPTADA
abababababababababababababababababa,0.000003,4236,ACEPTADA
abababababababababababababababababab,0.000003,4236,ACEPTADA
ababababababababababababababababababa,0.000003,4236,ACEPTADA
ababababababababababababababababababab,0.000003,4236,ACEPTADA
abababababababababababababababababababa,0.000003,4236,ACEPTADA
abababababababababababababababababababab,0.000004,4236,ACEPTADA
ababababababababababababababababababababa,0.000004,4236,ACEPTADA
ababababababababababababababababababababab,0.000004,4236,ACEPTADA
abababababababababababababababababababababa,0.000004,4236,ACEPTADA
abababababababababababababababababababababab,0.000003,4236,ACEPTADA
ababababababababababababababababababababababa,0.000003,4236,ACEPTADA
ababababababababababababababababababababababab,0.000003,4236,ACEPTADA
abababababababababababababababababababababababa,0.000003,4236,ACEPTADA
abababababababababababababababababababababababab,0.000004,4236,ACEPTADA
ababababababababababababababababababababababababa,0.000004,4236,ACEPTADA
ababababababababababababababababababababababababab,0.000004,4236,ACEPTADA
abababababababababababababababababababababababababa,0.000003,4236,ACEPTADA
abababababababababababababababababababababababababab,0.000004,4236,ACEPTADA
ababababababababababababababababababababababababababa,0.000004,4236,ACEPTADA
ababababababababababababababababababababababababababab,0.000005,4236,ACEPTADA
abababababababababababababababababababababababababababa,0.000004,4236,ACEPTADA
abababababababababababababababababababababababababababab,0.000004,4236,ACEPTADA
